AUC,ACC,F1,MCC
0.9338717352225865,0.8547557840616966,0.8575031525851198,0.7106507468393785
0.9359336999048324,0.8470437017994858,0.8460543337645536,0.6940775670166066
0.9268291071062735,0.8508997429305912,0.8485639686684073,0.7019085559198214
0.9357177316494512,0.8650385604113111,0.8655569782330346,0.7302131783237084
0.9321124259570915,0.8365508365508365,0.8378033205619413,0.6734176034013447
0.9209877688403587,0.8314028314028314,0.8326947637292464,0.6631189146804432
0.9272954958058917,0.8442728442728443,0.845859872611465,0.6889855520108323
0.9280707101493447,0.8455598455598455,0.8449612403100775,0.6911262913065491
0.9288923048381327,0.833976833976834,0.833117723156533,0.6679476307169724
0.921842492347243,0.8404118404118404,0.8430379746835444,0.6816372427127193
