trial,CV_AUC,max_depth,num_leaves,lr,subsample,colsample,bagging_freq,L2,L1,min_child,min_gain,max_bin,max_delta,min_hessian,boost_avg,extra_trees,time_s
187,0.927,8,59,0.0879,0.7196,0.7259,9,0.5947,0.3934,12,0.0013,115,3.564,0.1017,True,False,73.4
188,0.9217,8,60,0.0867,0.7609,0.7349,10,18.6102,0.1873,13,1.1694,111,3.2143,0.0504,True,False,18.2
189,0.9271,8,61,0.0773,0.8173,0.701,10,1.4383,0.2828,11,0.0355,120,3.7355,0.0874,True,False,69.2
190,0.9282,8,59,0.0927,0.737,0.7316,10,1.9239,0.1241,12,0.0726,129,3.4856,0.442,True,False,62.9
191,0.9288,8,62,0.0749,0.8301,0.7099,10,0.837,0.0932,10,0.0957,124,3.3991,0.0627,True,False,63.7
192,0.9243,8,63,0.0821,0.7694,0.7208,10,0.5393,0.2122,14,0.0981,116,3.3334,0.0613,True,False,42.3
193,0.9289,8,61,0.0749,0.8239,0.6944,10,1.1213,0.0916,11,0.001,122,3.5596,0.0515,True,False,75.3
194,0.9288,8,61,0.0755,0.7285,0.691,10,0.9213,0.0863,10,0.0556,119,3.4316,0.0516,True,False,72.6
195,0.9283,8,60,0.0752,0.8229,0.6943,10,1.2612,0.1283,10,0.0431,110,3.2277,0.0474,True,False,60.2
196,0.9279,8,58,0.0751,0.7324,0.6995,10,0.8843,0.0027,10,0.0455,119,3.5193,0.0485,True,False,72.5
197,0.9261,8,61,0.0709,0.7328,0.6886,10,1.5849,0.1858,11,0.1189,115,3.412,0.0386,True,False,55.5
198,0.9284,8,25,0.0793,0.8302,0.6818,9,0.8891,0.1273,13,0.1538,132,3.8458,0.0612,True,False,55.4
199,0.9275,8,58,0.0783,0.7451,0.6933,10,1.2443,0.2508,11,0.0023,120,3.3157,0.0696,True,False,85.7
200,0.9281,8,60,0.076,0.7113,0.6804,10,0.5002,0.003,10,0.069,138,3.7053,0.2188,True,False,75.8
201,0.9271,8,62,0.0734,0.7256,0.714,10,0.804,0.0878,9,0.0891,124,3.3976,0.0827,True,False,63.8
